1: 5/100
2: 19/100
3: 24/100
4: 38/100
5: 47/100
6: 64/100
7: 72/100
8: 81/100
9: 84/100
10: 97/100
11: 95/100
12: 97/100
13: 100/100
14: 100/100
15: 100/100
16: 100/100
17: 100/100
18: 100/100
19: 100/100
20: 100/100
21: 100/100
22: 100/100
23: 100/100
24: 100/100
25: 100/100
26: 100/100
27: 100/100
28: 100/100
29: 100/100
30: 100/100
31: 100/100
32: 100/100
